Division,Score
Big East Conference,39.9
Big 12 Conference - South,38.4
Atlantic Coast Conference - Atlantic,36.5
Big Ten Conference,33.6
Southeastern Conference - West,32.9
Pacific-10 Conference,32.7
Southeastern Conference - East,32.2
Big 12 Conference - North,26.9
Independent,23.9
Atlantic Coast Conference - Coastal,23.3
Mountain West Conference,23.3
Conference USA - West,20.7
Western Athletic Conference,19.6
Mid-American Conference - West,16.4
Conference USA - East,14.6
Mid-American Conference - East,14.3
Sun Belt Conference,12.7
FCS,1.5
