Division,Score
Big East Conference,38.9
Big 12 Conference - South,37.6
Southeastern Conference - West,34.0
Atlantic Coast Conference - Atlantic,33.1
Pacific-10 Conference,31.5
Southeastern Conference - East,30.7
Big Ten Conference,30.2
Big 12 Conference - North,24.9
Mountain West Conference,23.2
Atlantic Coast Conference - Coastal,22.3
Independent,21.7
Western Athletic Conference,20.9
Conference USA - West,20.6
Mid-American Conference - West,15.5
Conference USA - East,14.7
Sun Belt Conference,12.5
Mid-American Conference - East,12.0
FCS,1.5
