Division,Score
Big East Conference,40.0
Big 12 Conference - South,38.4
Southeastern Conference - East,35.8
Big Ten Conference,35.8
Atlantic Coast Conference - Atlantic,35.6
Pacific-10 Conference,35.0
Big 12 Conference - North,31.0
Southeastern Conference - West,30.7
Independent,28.2
Atlantic Coast Conference - Coastal,25.2
Mountain West Conference,24.4
Conference USA - West,20.9
Western Athletic Conference,20.6
Conference USA - East,18.7
Mid-American Conference - West,17.1
Mid-American Conference - East,13.7
Sun Belt Conference,12.6
FCS,1.9
