Conference,Score
Big East Conference,38.5
Southeastern Conference,34.8
Pacific-10 Conference,30.9
Big 12 Conference,30.1
Big Ten Conference,29.3
Atlantic Coast Conference,26.7
Mountain West Conference,24.8
Independent,22.3
Western Athletic Conference,22.1
Conference USA,17.6
Mid-American Conference,13.9
Sun Belt Conference,13.3
FCS,1.7
