Division,Score
Big East Conference,39.0
Big 12 Conference - South,36.8
Atlantic Coast Conference - Atlantic,33.7
Southeastern Conference - West,33.5
Pacific-10 Conference,31.2
Big Ten Conference,30.9
Southeastern Conference - East,30.8
Big 12 Conference - North,26.4
Independent,23.7
Mountain West Conference,23.1
Atlantic Coast Conference - Coastal,22.4
Western Athletic Conference,21.2
Conference USA - West,20.9
Mid-American Conference - West,15.4
Conference USA - East,15.4
Sun Belt Conference,12.9
Mid-American Conference - East,12.4
FCS,1.6
