Division,Score
Big East Conference,38.3
Big 12 Conference - South,37.0
Southeastern Conference - East,34.0
Southeastern Conference - West,33.3
Atlantic Coast Conference - Atlantic,31.0
Big Ten Conference,30.8
Pacific-10 Conference,30.4
Big 12 Conference - North,26.3
Mountain West Conference,25.0
Independent,23.8
Atlantic Coast Conference - Coastal,23.2
Western Athletic Conference,22.4
Conference USA - West,19.4
Mid-American Conference - West,16.9
Conference USA - East,15.7
Sun Belt Conference,13.7
Mid-American Conference - East,11.5
FCS,1.7
