Division,Score
Big 12 Conference - South,39.1
Big East Conference,38.1
Atlantic Coast Conference - Atlantic,35.6
Southeastern Conference - East,35.6
Big Ten Conference,35.2
Pacific-10 Conference,34.8
Southeastern Conference - West,31.2
Big 12 Conference - North,29.7
Independent,24.8
Atlantic Coast Conference - Coastal,24.4
Mountain West Conference,24.3
Conference USA - West,20.5
Western Athletic Conference,20.0
Conference USA - East,17.8
Mid-American Conference - West,16.4
Mid-American Conference - East,13.0
Sun Belt Conference,11.3
FCS,1.8
