Division,Score
Big East Conference,38.4
Big 12 Conference - South,35.3
Southeastern Conference - East,34.4
Southeastern Conference - West,32.8
Atlantic Coast Conference - Atlantic,30.8
Pacific-10 Conference,30.7
Big Ten Conference,30.1
Mountain West Conference,24.6
Big 12 Conference - North,24.4
Independent,23.1
Atlantic Coast Conference - Coastal,22.3
Western Athletic Conference,21.9
Conference USA - West,18.6
Mid-American Conference - West,17.1
Conference USA - East,15.4
Sun Belt Conference,13.0
Mid-American Conference - East,11.4
FCS,1.6
