Division,Score
Big Ten Conference,39.0
Big 12 Conference - South,37.9
Big East Conference,37.6
Pacific-10 Conference,34.8
Southeastern Conference - East,33.8
Atlantic Coast Conference - Atlantic,33.7
Southeastern Conference - West,33.2
Big 12 Conference - North,31.5
Atlantic Coast Conference - Coastal,25.7
Mountain West Conference,25.0
Independent,24.0
Western Athletic Conference,20.3
Conference USA - East,19.9
Conference USA - West,19.3
Mid-American Conference - West,17.2
Mid-American Conference - East,14.4
Sun Belt Conference,13.5
FCS,2.3
