Division,Score
Big East Conference,38.4
Big 12 Conference - South,35.8
Southeastern Conference - East,35.1
Southeastern Conference - West,33.1
Atlantic Coast Conference - Atlantic,30.8
Pacific-10 Conference,30.4
Big Ten Conference,30.4
Big 12 Conference - North,24.9
Mountain West Conference,24.6
Independent,23.1
Atlantic Coast Conference - Coastal,22.6
Western Athletic Conference,21.9
Conference USA - West,18.6
Mid-American Conference - West,17.2
Conference USA - East,15.5
Sun Belt Conference,13.0
Mid-American Conference - East,11.4
FCS,1.6
