Division,Score
Big Ten Conference,38.8
Big 12 Conference - South,38.7
Pacific-10 Conference,36.1
Atlantic Coast Conference - Coastal,35.4
Southeastern Conference - West,32.1
Big 12 Conference - North,31.9
Atlantic Coast Conference - Atlantic,30.6
Southeastern Conference - East,28.8
Big East Conference,27.9
Mountain West Conference,23.3
Conference USA - West,16.1
Conference USA - East,15.9
Independent,15.5
Mid-American Conference - West,14.3
Western Athletic Conference,11.1
Mid-American Conference - East,10.9
Sun Belt Conference,6.7
FCS,1.0
