Conference,Score
Big Ten Conference,35.8
Big 12 Conference,32.0
Atlantic Coast Conference,31.2
Pacific-10 Conference,29.3
Big East Conference,28.4
Southeastern Conference,25.4
Independent,21.3
Mountain West Conference,21.3
Conference USA,15.8
Mid-American Conference,13.7
Western Athletic Conference,12.8
Sun Belt Conference,5.8
FCS,0.6
