Division,Score
Big 12 Conference - South,36.0
Big Ten Conference,33.3
Pacific-10 Conference,31.0
Atlantic Coast Conference - Coastal,31.0
Southeastern Conference - West,28.8
Atlantic Coast Conference - Atlantic,27.8
Big 12 Conference - North,26.4
Southeastern Conference - East,25.2
Big East Conference,24.9
Mountain West Conference,20.4
Independent,17.2
Conference USA - East,15.1
Conference USA - West,14.3
Mid-American Conference - West,13.3
Western Athletic Conference,12.3
Mid-American Conference - East,10.2
Sun Belt Conference,4.7
FCS,0.4
