Division,Score
Big 12 Conference - South,38.8
Big Ten Conference,37.4
Atlantic Coast Conference - Coastal,36.6
Pacific-10 Conference,35.2
Southeastern Conference - West,30.2
Atlantic Coast Conference - Atlantic,29.9
Big 12 Conference - North,29.6
Southeastern Conference - East,28.9
Big East Conference,26.9
Mountain West Conference,22.8
Independent,18.5
Conference USA - East,17.7
Conference USA - West,15.6
Mid-American Conference - West,13.4
Western Athletic Conference,13.3
Mid-American Conference - East,12.4
Sun Belt Conference,6.3
FCS,0.7
