Division,Score
Big 12 Conference - South,37.1
Big Ten Conference,36.6
Atlantic Coast Conference - Coastal,32.2
Pacific-10 Conference,30.1
Atlantic Coast Conference - Atlantic,29.6
Big East Conference,29.2
Southeastern Conference - West,28.7
Big 12 Conference - North,25.8
Southeastern Conference - East,25.5
Independent,23.6
Mountain West Conference,21.0
Mid-American Conference - West,18.4
Conference USA - East,17.5
Conference USA - West,15.7
Western Athletic Conference,14.0
Mid-American Conference - East,11.1
Sun Belt Conference,6.7
FCS,0.7
