Conference,Score
Pacific-10 Conference,32.0
Big Ten Conference,31.7
Big 12 Conference,29.7
Atlantic Coast Conference,28.4
Southeastern Conference,28.3
Big East Conference,24.9
Mountain West Conference,22.0
Independent,15.8
Conference USA,13.4
Western Athletic Conference,10.2
Mid-American Conference,9.7
Sun Belt Conference,7.0
FCS,0.7
