Division,Score
Big 12 Conference - South,37.3
Big Ten Conference,36.7
Atlantic Coast Conference - Coastal,32.4
Pacific-10 Conference,30.3
Atlantic Coast Conference - Atlantic,29.8
Big East Conference,29.4
Southeastern Conference - West,28.7
Big 12 Conference - North,26.6
Southeastern Conference - East,25.4
Independent,24.4
Mountain West Conference,20.2
Mid-American Conference - West,19.1
Conference USA - East,17.4
Conference USA - West,14.4
Western Athletic Conference,14.3
Mid-American Conference - East,11.1
Sun Belt Conference,6.6
FCS,0.7
