Division,Score
Big 12 Conference - South,29.7
Pacific-10 Conference,27.6
Atlantic Coast Conference - Coastal,26.9
Atlantic Coast Conference - Atlantic,24.3
Big Ten Conference,24.2
Southeastern Conference - West,24.1
Big 12 Conference - North,22.5
Southeastern Conference - East,21.5
Mountain West Conference,21.3
Big East Conference,20.6
Independent,17.7
Conference USA - West,14.2
Western Athletic Conference,12.9
Conference USA - East,12.8
Mid-American Conference - East,11.4
Sun Belt Conference,7.7
Mid-American Conference - West,7.4
FCS,2.2
