Conference,Score
Big Ten Conference,33.4
Big 12 Conference,31.7
Pacific-10 Conference,30.9
Atlantic Coast Conference,29.9
Southeastern Conference,26.4
Big East Conference,25.5
Mountain West Conference,21.3
Independent,19.3
Conference USA,15.4
Western Athletic Conference,12.6
Mid-American Conference,12.0
Sun Belt Conference,5.1
FCS,0.4
