Division,Score
Big 12 Conference - South,36.3
Big Ten Conference,35.8
Atlantic Coast Conference - Coastal,33.8
Pacific-10 Conference,29.3
Atlantic Coast Conference - Atlantic,28.6
Big East Conference,28.4
Southeastern Conference - West,28.0
Big 12 Conference - North,27.6
Southeastern Conference - East,22.9
Independent,21.3
Mountain West Conference,21.3
Mid-American Conference - West,17.4
Conference USA - East,16.3
Conference USA - West,15.2
Western Athletic Conference,12.8
Mid-American Conference - East,10.1
Sun Belt Conference,5.8
FCS,0.6
