Division,Score
Big 12 Conference - South,36.7
Big Ten Conference,36.4
Atlantic Coast Conference - Coastal,33.2
Pacific-10 Conference,30.1
Big East Conference,29.2
Southeastern Conference - West,29.2
Atlantic Coast Conference - Atlantic,29.0
Big 12 Conference - North,27.5
Southeastern Conference - East,24.7
Independent,23.1
Mountain West Conference,21.9
Mid-American Conference - West,18.6
Conference USA - East,17.8
Conference USA - West,15.2
Western Athletic Conference,13.6
Mid-American Conference - East,10.9
Sun Belt Conference,6.4
FCS,0.7
