Division,Score
Big 12 Conference - South,38.9
Big Ten Conference,36.7
Pacific-10 Conference,34.5
Atlantic Coast Conference - Coastal,34.2
Atlantic Coast Conference - Atlantic,31.6
Southeastern Conference - West,31.5
Big 12 Conference - North,31.4
Southeastern Conference - East,29.1
Big East Conference,28.5
Mountain West Conference,22.8
Independent,19.3
Conference USA - West,17.4
Conference USA - East,16.7
Mid-American Conference - West,14.5
Western Athletic Conference,14.4
Mid-American Conference - East,11.8
Sun Belt Conference,6.9
FCS,0.8
