Division,Score
Big 12 Conference - South,42.8
Big Ten Conference,42.2
Atlantic Coast Conference - Coastal,40.6
Pacific-10 Conference,39.2
Big 12 Conference - North,35.8
Southeastern Conference - East,35.1
Atlantic Coast Conference - Atlantic,32.4
Southeastern Conference - West,31.8
Big East Conference,30.7
Mountain West Conference,26.8
Conference USA - West,20.3
Independent,19.2
Conference USA - East,19.1
Mid-American Conference - West,16.2
Western Athletic Conference,14.4
Mid-American Conference - East,14.3
Sun Belt Conference,8.9
FCS,1.3
