Division,Score
Big 12 Conference - South,38.0
Big Ten Conference,37.1
Atlantic Coast Conference - Coastal,33.6
Pacific-10 Conference,31.3
Atlantic Coast Conference - Atlantic,30.4
Southeastern Conference - West,29.5
Big 12 Conference - North,28.9
Big East Conference,28.7
Southeastern Conference - East,25.0
Mountain West Conference,22.2
Independent,20.5
Mid-American Conference - West,18.2
Conference USA - East,17.7
Conference USA - West,15.6
Western Athletic Conference,13.3
Mid-American Conference - East,11.3
Sun Belt Conference,6.1
FCS,0.7
