Conference,Score
Big Ten Conference,36.7
Big 12 Conference,35.1
Pacific-10 Conference,34.5
Atlantic Coast Conference,32.9
Southeastern Conference,30.3
Big East Conference,28.5
Mountain West Conference,22.8
Independent,19.3
Conference USA,17.1
Western Athletic Conference,14.4
Mid-American Conference,13.1
Sun Belt Conference,6.9
FCS,0.8
