Conference,Score
Big Ten Conference,36.4
Big 12 Conference,32.1
Atlantic Coast Conference,31.1
Pacific-10 Conference,30.1
Big East Conference,29.2
Southeastern Conference,26.9
Independent,23.1
Mountain West Conference,21.9
Conference USA,16.5
Mid-American Conference,14.7
Western Athletic Conference,13.6
Sun Belt Conference,6.4
FCS,0.7
