Division,Score
Big 12 Conference - South,37.7
Big Ten Conference,34.5
Pacific-10 Conference,30.8
Atlantic Coast Conference - Atlantic,30.3
Atlantic Coast Conference - Coastal,30.2
Southeastern Conference - West,29.9
Big East Conference,28.0
Big 12 Conference - North,26.6
Southeastern Conference - East,25.6
Independent,24.2
Mountain West Conference,21.2
Mid-American Conference - West,18.4
Conference USA - East,17.4
Conference USA - West,14.8
Western Athletic Conference,13.8
Mid-American Conference - East,10.5
Sun Belt Conference,6.7
FCS,0.7
