Division,Score
Pacific-10 Conference,32.0
Big Ten Conference,31.7
Big 12 Conference - South,31.6
Southeastern Conference - East,29.1
Atlantic Coast Conference - Atlantic,28.5
Atlantic Coast Conference - Coastal,28.3
Big 12 Conference - North,27.7
Southeastern Conference - West,27.6
Big East Conference,24.9
Mountain West Conference,22.0
Independent,15.8
Conference USA - West,14.1
Conference USA - East,12.7
Mid-American Conference - West,11.5
Western Athletic Conference,10.2
Mid-American Conference - East,7.8
Sun Belt Conference,7.0
FCS,0.7
