Division,Score
Big 12 Conference - South,36.1
Big Ten Conference,35.9
Atlantic Coast Conference - Coastal,33.6
Pacific-10 Conference,29.7
Atlantic Coast Conference - Atlantic,29.2
Big East Conference,28.7
Southeastern Conference - West,28.5
Big 12 Conference - North,27.5
Southeastern Conference - East,23.1
Independent,22.3
Mountain West Conference,21.4
Mid-American Conference - West,18.0
Conference USA - East,16.8
Conference USA - West,14.6
Western Athletic Conference,13.3
Mid-American Conference - East,10.6
Sun Belt Conference,5.7
FCS,0.6
