Division,Score
Big 12 Conference - South,36.5
Big Ten Conference,33.4
Atlantic Coast Conference - Coastal,31.8
Pacific-10 Conference,30.9
Southeastern Conference - West,28.4
Atlantic Coast Conference - Atlantic,28.1
Big 12 Conference - North,26.8
Big East Conference,25.5
Southeastern Conference - East,24.4
Mountain West Conference,21.3
Independent,19.3
Conference USA - East,16.0
Mid-American Conference - West,15.0
Conference USA - West,14.8
Western Athletic Conference,12.6
Mid-American Conference - East,9.1
Sun Belt Conference,5.1
FCS,0.4
