Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
penn-state,3,3,0,65.1,41.6,14.5
ohio-state,4,4,0,60.6,42.8,14.5
wisconsin,23,21,-2,37.5,14.7,16.6
iowa,21,20,-1,38.2,23.9,11.1
michigan,24,17,-7,37.1,26.1,12.9
northwestern,38,30,-8,28.5,11.0,10.4
minnesota,20,16,-4,38.5,28.7,15.5
purdue,44,39,-5,26.7,17.4,13.6
michigan-state,41,37,-4,27.5,19.1,15.9
indiana,85,83,-2,13.0,-7.3,9.0
illinois,102,102,0,6.9,-14.0,12.3
florida-state,27,26,-1,33.9,14.4,16.4
boston-college,15,18,3,42.5,22.1,12.1
clemson,26,27,1,35.3,16.7,10.7
north-carolina-state,37,45,8,28.7,11.2,14.4
maryland,57,56,-1,22.5,8.5,9.8
wake-forest,70,67,-3,19.1,8.0,8.4
virginia-tech,6,6,0,57.4,36.7,16.0
miami-fl,16,9,-7,42.4,21.8,14.6
georgia-tech,31,25,-6,30.6,14.7,14.9
north-carolina,65,61,-4,19.7,2.4,13.7
virginia,43,48,5,26.8,7.9,12.9
duke,111,110,-1,4.0,-19.6,11.9
southern-california,2,2,0,78.4,49.8,20.3
oregon,14,12,-2,44.0,18.9,12.2
ucla,25,33,8,35.8,8.0,18.0
california,19,22,3,38.8,22.3,18.0
arizona-state,39,47,8,28.3,10.5,17.5
stanford,71,71,0,18.8,0.4,11.2
oregon-state,68,70,2,19.3,1.6,11.5
arizona,84,85,1,13.5,0.7,11.1
washington-state,62,65,3,20.1,10.4,11.5
washington,91,92,1,10.7,0.3,9.7
colorado,50,40,-10,25.2,7.8,13.7
nebraska,33,41,8,29.9,8.1,11.8
iowa-state,32,34,2,30.1,13.6,8.2
missouri,42,49,7,27.2,8.7,13.0
kansas,40,42,2,27.5,9.1,10.3
kansas-state,67,68,1,19.5,1.9,11.4
texas,1,1,0,84.3,56.6,18.2
texas-tech,13,14,1,45.4,22.2,12.6
oklahoma,18,23,5,39.7,23.7,13.4
texas-am,46,46,0,26.5,16.9,15.3
baylor,72,72,0,18.3,-0.6,10.1
oklahoma-state,89,90,1,12.0,-9.7,15.2
georgia,12,13,1,45.8,21.2,15.7
florida,22,24,2,37.9,17.0,14.3
south-carolina,58,52,-6,21.9,-0.8,9.6
tennessee,52,55,3,23.4,10.3,14.1
vanderbilt,78,79,1,16.1,-5.3,12.1
kentucky,99,100,1,8.4,-14.6,10.0
louisiana-state,11,15,4,48.3,23.3,17.3
auburn,10,10,0,48.8,26.7,12.4
alabama,17,19,2,41.6,17.0,12.8
arkansas,60,60,0,21.0,12.6,12.8
mississippi-state,92,93,1,10.6,-7.9,13.2
mississippi,97,99,2,9.0,-12.9,13.6
west-virginia,5,5,0,58.1,32.8,11.6
louisville,7,7,0,50.8,29.5,13.6
rutgers,49,36,-13,26.2,6.8,7.0
south-florida,35,31,-4,29.0,18.2,12.4
pittsburgh,66,63,-3,19.5,2.0,8.3
connecticut,55,51,-4,22.8,9.1,15.1
cincinnati,90,89,-1,11.5,-11.0,10.0
syracuse,104,104,0,5.8,-10.7,13.5
notre-dame,8,8,0,50.8,29.4,13.9
navy,28,29,1,33.0,13.1,10.0
army,87,86,-1,12.7,-8.1,6.9
temple,119,119,0,0.2,-38.4,12.6
texas-christian,9,11,2,50.2,22.1,10.3
brigham-young,51,53,2,23.5,7.2,8.3
colorado-state,77,78,1,16.1,-7.6,12.2
utah,48,57,9,26.3,7.0,15.7
new-mexico,56,58,2,22.6,2.6,11.7
san-diego-state,75,77,2,16.5,-2.0,11.2
air-force,73,73,0,18.0,5.1,14.3
wyoming,86,88,2,12.9,-7.6,14.4
nevada-las-vegas,110,111,1,4.5,-23.0,16.2
central-florida,63,64,1,19.9,-6.0,7.2
memphis,45,44,-1,26.6,7.6,11.1
southern-mississippi,61,62,1,20.4,-3.5,11.1
east-carolina,88,87,-1,12.5,-13.0,8.0
alabama-birmingham,79,80,1,15.6,-6.3,12.9
marshall,95,95,0,9.5,-16.0,9.4
tulsa,34,38,4,29.7,6.1,9.6
texas-el-paso,64,66,2,19.8,-8.1,13.0
houston,74,75,1,16.9,-5.9,10.4
southern-methodist,82,84,2,13.9,-10.1,9.0
tulane,112,112,0,3.7,-25.9,14.7
rice,108,108,0,4.8,-15.7,14.1
akron,83,82,-1,13.8,-13.8,10.0
miami-oh,54,50,-4,22.8,-1.7,9.7
bowling-green-state,76,74,-2,16.1,-9.5,12.5
ohio,98,96,-2,8.7,-17.9,9.1
buffalo,116,115,-1,0.9,-35.2,10.3
kent-state,117,116,-1,0.8,-35.7,14.7
toledo,29,32,3,32.3,7.2,11.5
northern-illinois,47,43,-4,26.4,7.2,12.0
western-michigan,80,76,-4,15.5,-13.9,6.6
central-michigan,59,59,0,21.1,-0.2,7.1
ball-state,101,101,0,7.1,-22.1,7.6
eastern-michigan,100,98,-2,8.2,-19.3,8.4
nevada,53,54,1,23.1,-6.2,8.5
boise-state,30,28,-2,31.3,8.6,13.5
louisiana-tech,69,69,0,19.2,-7.8,11.1
fresno-state,36,35,-1,29.0,9.5,14.3
hawaii,94,94,0,10.0,-16.8,13.8
san-jose-state,105,105,0,5.3,-23.9,11.2
utah-state,109,109,0,4.7,-25.7,11.0
idaho,113,113,0,1.5,-34.1,13.8
new-mexico-state,120,120,0,0.0,-39.8,14.9
louisiana-lafayette,81,81,0,14.8,-12.1,7.1
arkansas-state,93,91,-2,10.6,-18.6,13.9
louisiana-monroe,106,106,0,5.1,-28.9,10.5
florida-international,103,103,0,6.7,-25.5,10.8
middle-tennessee-state,96,97,1,9.0,-17.3,8.7
troy,107,107,0,5.0,-27.3,14.3
florida-atlantic,114,114,0,1.3,-34.8,15.1
north-texas,115,117,2,1.0,-36.2,15.1
fcs,118,118,0,0.7,-29.3,10.6
