Division,Score
Big 12 Conference - South,36.9
Big Ten Conference,34.9
Pacific-10 Conference,30.6
Atlantic Coast Conference - Coastal,30.5
Atlantic Coast Conference - Atlantic,30.4
Southeastern Conference - West,29.1
Big East Conference,27.6
Big 12 Conference - North,26.4
Southeastern Conference - East,25.4
Independent,23.1
Mountain West Conference,21.2
Mid-American Conference - West,18.4
Conference USA - East,17.4
Conference USA - West,14.7
Western Athletic Conference,13.8
Mid-American Conference - East,10.6
Sun Belt Conference,6.6
FCS,0.7
