Division,Score
Big 12 Conference - South,37.1
Big Ten Conference,36.2
Atlantic Coast Conference - Coastal,34.4
Pacific-10 Conference,29.8
Atlantic Coast Conference - Atlantic,29.2
Southeastern Conference - West,28.5
Big East Conference,28.4
Big 12 Conference - North,28.1
Southeastern Conference - East,24.1
Independent,21.4
Mountain West Conference,21.2
Mid-American Conference - West,18.1
Conference USA - East,17.2
Conference USA - West,13.8
Western Athletic Conference,12.9
Mid-American Conference - East,10.7
Sun Belt Conference,5.7
FCS,0.7
