Conference,Score
Big Ten Conference,33.3
Big 12 Conference,31.2
Pacific-10 Conference,31.0
Atlantic Coast Conference,29.4
Southeastern Conference,27.0
Big East Conference,24.9
Mountain West Conference,20.4
Independent,17.2
Conference USA,14.7
Western Athletic Conference,12.3
Mid-American Conference,11.7
Sun Belt Conference,4.7
FCS,0.4
