Division,Score
Pacific-10 Conference,31.6
Big Ten Conference,31.6
Big 12 Conference - South,29.4
Atlantic Coast Conference - Coastal,28.7
Atlantic Coast Conference - Atlantic,28.6
Southeastern Conference - West,28.6
Southeastern Conference - East,27.4
Big 12 Conference - North,25.9
Mountain West Conference,22.8
Big East Conference,21.7
Independent,18.6
Conference USA - West,14.5
Conference USA - East,13.8
Western Athletic Conference,13.7
Mid-American Conference - West,11.8
Sun Belt Conference,8.4
Mid-American Conference - East,8.3
FCS,3.1
