Division,Score
Southeastern Conference - West,38.4
Big Ten Conference - East,33.1
Atlantic Coast Conference - Atlantic,32.0
Independent,31.0
Big 12 Conference,29.7
Pac-12 Conference - North,29.7
Big Ten Conference - West,28.5
American Athletic Conference - West,28.4
Pac-12 Conference - South,27.9
Atlantic Coast Conference - Coastal,27.7
Mountain West Conference - Mountain,24.3
Southeastern Conference - East,24.1
American Athletic Conference - East,20.0
Mid-American Conference - West,19.5
Mountain West Conference - West,15.1
Mid-American Conference - East,15.0
Conference USA - East,14.1
Sun Belt Conference,14.0
Conference USA - West,11.4
FCS,0.3
