Division,Score
Southeastern Conference - West,48.5
Pac-12 Conference - South,41.7
Big Ten Conference - East,41.0
Atlantic Coast Conference - Atlantic,40.7
Big 12 Conference,37.5
Independent,35.8
Southeastern Conference - East,35.0
Big Ten Conference - West,34.7
Atlantic Coast Conference - Coastal,34.5
Pac-12 Conference - North,34.2
American Athletic Conference - West,33.4
Mountain West Conference - Mountain,28.8
American Athletic Conference - East,25.8
Mid-American Conference - West,23.0
Conference USA - East,20.9
Mid-American Conference - East,19.8
Mountain West Conference - West,17.8
Sun Belt Conference,17.1
Conference USA - West,16.1
FCS,1.3
