Division,Score
Southeastern Conference - West,43.5
Atlantic Coast Conference - Atlantic,35.2
Pac-12 Conference - South,33.5
Atlantic Coast Conference - Coastal,33.2
Independent,32.4
Southeastern Conference - East,31.6
Big Ten Conference - West,31.1
Big Ten Conference - East,30.7
Big 12 Conference,29.9
American Athletic Conference - West,25.5
Pac-12 Conference - North,25.0
Mountain West Conference - Mountain,23.6
Conference USA - East,20.6
American Athletic Conference - East,19.5
Mid-American Conference - West,16.1
Mountain West Conference - West,14.6
Conference USA - West,14.5
Sun Belt Conference,13.8
Mid-American Conference - East,13.2
FCS,0.2
