Division,Score
Southeastern Conference - West,42.2
Pac-12 Conference - South,36.3
Atlantic Coast Conference - Atlantic,35.4
Big Ten Conference - East,32.9
Southeastern Conference - East,32.2
Atlantic Coast Conference - Coastal,32.1
Independent,31.7
Big 12 Conference,31.3
Big Ten Conference - West,30.0
Pac-12 Conference - North,27.8
American Athletic Conference - West,26.8
Mountain West Conference - Mountain,21.5
Conference USA - East,18.2
American Athletic Conference - East,17.8
Mid-American Conference - West,16.2
Mid-American Conference - East,14.7
Conference USA - West,14.5
Sun Belt Conference,14.3
Mountain West Conference - West,12.3
FCS,0.2
