Division,Score
Southeastern Conference - West,38.9
Atlantic Coast Conference - Atlantic,33.6
Big Ten Conference - East,33.6
Independent,32.9
Pac-12 Conference - South,31.5
American Athletic Conference - West,31.2
Big 12 Conference,30.7
Big Ten Conference - West,29.4
Atlantic Coast Conference - Coastal,29.1
Pac-12 Conference - North,28.3
Southeastern Conference - East,26.8
Mountain West Conference - Mountain,24.3
Mid-American Conference - West,21.8
American Athletic Conference - East,21.4
Mid-American Conference - East,15.6
Mountain West Conference - West,14.6
Sun Belt Conference,14.5
Conference USA - East,14.3
Conference USA - West,11.9
FCS,0.3
