Conference,Score
Independent,31.8
Southeastern Conference,31.4
Big Ten Conference,30.7
Atlantic Coast Conference,30.3
Big 12 Conference,30.0
Pac-12 Conference,29.2
American Athletic Conference,25.4
Mountain West Conference,18.8
Mid-American Conference,18.0
Sun Belt Conference,14.0
Conference USA,13.0
FCS,0.3
