Division,Score
Southeastern Conference - West,36.4
Big Ten Conference - East,28.3
Atlantic Coast Conference - Coastal,27.6
Pac-12 Conference - South,27.2
Southeastern Conference - East,27.2
Atlantic Coast Conference - Atlantic,25.5
Pac-12 Conference - North,25.5
Big 12 Conference,24.9
Big Ten Conference - West,24.6
Independent,23.4
Mountain West Conference - Mountain,21.1
Conference USA - East,18.2
American Athletic Conference - East,17.2
American Athletic Conference - West,16.9
Conference USA - West,16.7
Mid-American Conference - West,16.4
Sun Belt Conference,14.2
Mountain West Conference - West,13.4
Mid-American Conference - East,11.1
FCS,2.4
