Division,Score
Southeastern Conference - West,41.7
Big Ten Conference - East,32.7
Atlantic Coast Conference - Atlantic,31.0
Pac-12 Conference - North,30.2
Independent,29.6
Big 12 Conference,28.1
American Athletic Conference - West,27.8
Pac-12 Conference - South,27.5
Big Ten Conference - West,27.1
Atlantic Coast Conference - Coastal,26.7
Southeastern Conference - East,24.8
Mountain West Conference - Mountain,23.5
American Athletic Conference - East,19.8
Mid-American Conference - West,19.4
Mountain West Conference - West,15.4
Mid-American Conference - East,14.9
Conference USA - East,14.2
Sun Belt Conference,14.1
Conference USA - West,11.4
FCS,0.3
