Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
florida,20,19,-1,45.9,31.9,10.2
georgia,25,25,0,41.7,34.2,15.2
tennessee,47,42,-5,30.7,36.2,10.9
kentucky,77,65,-12,20.8,6.8,5.4
vanderbilt,73,82,9,21.4,15.9,7.0
missouri,70,60,-10,22.2,13.2,4.6
south-carolina,80,80,0,18.6,9.5,5.6
alabama,5,3,-2,60.3,49.1,19.7
mississippi,22,26,4,45.0,36.2,16.3
louisiana-state,2,2,0,64.0,46.9,16.1
arkansas,54,62,8,27.8,29.9,12.8
mississippi-state,30,33,3,40.0,28.7,11.0
texas-am,39,27,-12,35.4,24.4,10.0
auburn,51,50,-1,28.0,20.0,14.1
stanford,12,14,2,52.1,40.4,12.9
oregon,46,47,1,30.8,25.1,9.8
washington-state,71,79,8,22.2,3.6,7.9
california,37,29,-8,36.0,25.2,8.3
washington,60,52,-8,25.4,24.7,8.2
oregon-state,102,100,-2,12.0,1.8,3.4
utah,14,5,-9,50.3,37.8,13.1
southern-california,34,41,7,37.5,37.5,12.1
ucla,32,37,5,38.7,29.5,11.9
arizona-state,57,55,-2,27.5,19.2,7.8
arizona,40,34,-6,32.5,24.5,10.0
colorado,81,88,7,18.4,5.4,5.8
michigan-state,8,9,1,53.1,32.5,12.9
ohio-state,4,6,2,61.8,42.8,16.7
michigan,17,16,-1,48.3,44.7,15.4
penn-state,42,43,1,32.2,17.0,7.3
indiana,79,70,-9,19.9,8.4,6.7
rutgers,82,74,-8,18.0,8.3,8.2
maryland,87,90,3,15.9,12.5,5.1
iowa,13,11,-2,51.5,31.7,9.1
northwestern,35,39,4,36.7,23.7,10.4
wisconsin,27,31,4,40.8,29.9,12.4
nebraska,61,56,-5,24.4,27.3,10.2
minnesota,67,64,-3,22.9,10.7,8.6
illinois,62,53,-9,24.4,13.4,5.9
purdue,108,108,0,8.2,-1.2,5.9
clemson,1,4,3,69.0,53.0,13.1
florida-state,15,7,-8,49.1,36.2,13.5
louisville,55,73,18,27.7,29.6,11.0
