Division,Score
Southeastern Conference - West,45.0
Big Ten Conference - East,38.1
Pac-12 Conference - South,36.9
Atlantic Coast Conference - Atlantic,36.8
Independent,35.9
Big 12 Conference,34.8
Atlantic Coast Conference - Coastal,33.2
Pac-12 Conference - North,32.5
Big Ten Conference - West,32.3
Southeastern Conference - East,31.6
American Athletic Conference - West,31.6
Mountain West Conference - Mountain,26.7
American Athletic Conference - East,23.7
Mid-American Conference - West,23.0
Conference USA - East,18.9
Sun Belt Conference,16.2
Mid-American Conference - East,16.1
Mountain West Conference - West,14.9
Conference USA - West,13.6
FCS,0.9
