Division,Score
Southeastern Conference - West,42.1
Independent,37.5
Atlantic Coast Conference - Atlantic,36.0
Big Ten Conference - East,35.7
Pac-12 Conference - South,34.6
American Athletic Conference - West,33.6
Big 12 Conference,33.3
Big Ten Conference - West,31.8
Atlantic Coast Conference - Coastal,31.6
Pac-12 Conference - North,30.9
Southeastern Conference - East,28.1
Mountain West Conference - Mountain,26.5
Mid-American Conference - West,23.8
American Athletic Conference - East,23.5
Mid-American Conference - East,16.5
Mountain West Conference - West,16.1
Conference USA - East,15.9
Sun Belt Conference,15.7
Conference USA - West,13.1
FCS,0.6
