Division,Score
Southeastern Conference - West,42.9
Big Ten Conference - East,35.6
Atlantic Coast Conference - Atlantic,35.1
Independent,35.0
Pac-12 Conference - South,34.1
Big 12 Conference,32.8
Atlantic Coast Conference - Coastal,31.1
American Athletic Conference - West,30.3
Big Ten Conference - West,29.8
Pac-12 Conference - North,29.8
Southeastern Conference - East,28.8
Mountain West Conference - Mountain,23.5
American Athletic Conference - East,21.9
Mid-American Conference - West,21.8
Conference USA - East,15.3
Sun Belt Conference,14.9
Mid-American Conference - East,14.6
Mountain West Conference - West,14.6
Conference USA - West,13.5
FCS,0.5
