Conference,Score
Southeastern Conference,36.5
Atlantic Coast Conference,33.1
Big Ten Conference,33.0
Big 12 Conference,32.4
Pac-12 Conference,32.4
Independent,29.4
American Athletic Conference,24.6
Mountain West Conference,18.3
Mid-American Conference,16.4
Conference USA,14.7
Sun Belt Conference,13.2
FCS,0.3
