Conference,Score
Southeastern Conference,31.8
Atlantic Coast Conference,26.6
Big Ten Conference,26.5
Pac-12 Conference,26.3
Big 12 Conference,24.9
Independent,23.4
Conference USA,17.5
Mountain West Conference,17.3
American Athletic Conference,17.1
Sun Belt Conference,14.2
Mid-American Conference,13.5
FCS,2.4
