Division,Score
Southeastern Conference - West,38.2
Big Ten Conference - East,33.0
Atlantic Coast Conference - Atlantic,31.9
Independent,31.8
Big 12 Conference,30.0
Pac-12 Conference - South,29.3
Pac-12 Conference - North,29.2
Atlantic Coast Conference - Coastal,28.7
American Athletic Conference - West,28.4
Big Ten Conference - West,28.3
Southeastern Conference - East,24.7
Mountain West Conference - Mountain,23.8
American Athletic Conference - East,22.4
Mid-American Conference - West,20.6
Mid-American Conference - East,15.8
Conference USA - East,14.0
Sun Belt Conference,14.0
Mountain West Conference - West,13.8
Conference USA - West,11.7
FCS,0.3
