Division,Score
Southeastern Conference - West,38.1
Big Ten Conference - East,33.0
Atlantic Coast Conference - Atlantic,32.0
Independent,30.8
Big 12 Conference,29.4
Pac-12 Conference - North,28.4
Atlantic Coast Conference - Coastal,28.1
American Athletic Conference - West,28.0
Pac-12 Conference - South,27.8
Big Ten Conference - West,27.6
Southeastern Conference - East,23.9
Mountain West Conference - Mountain,23.0
American Athletic Conference - East,21.1
Mid-American Conference - West,19.8
Mid-American Conference - East,15.7
Conference USA - East,14.3
Mountain West Conference - West,14.0
Sun Belt Conference,13.0
Conference USA - West,11.8
FCS,0.2
