Division,Score
Southeastern Conference - West,38.4
Big Ten Conference - East,33.2
Atlantic Coast Conference - Atlantic,32.3
Independent,31.8
Big 12 Conference,29.6
Pac-12 Conference - North,28.8
American Athletic Conference - West,28.6
Atlantic Coast Conference - Coastal,28.3
Pac-12 Conference - South,27.9
Big Ten Conference - West,27.8
Southeastern Conference - East,24.2
Mountain West Conference - Mountain,23.3
American Athletic Conference - East,22.0
Mid-American Conference - West,20.1
Mid-American Conference - East,16.1
Conference USA - East,14.2
Mountain West Conference - West,13.9
Sun Belt Conference,13.8
Conference USA - West,11.4
FCS,0.3
