Division,Score
Southeastern Conference - West,44.3
Pac-12 Conference - South,40.6
Atlantic Coast Conference - Atlantic,38.6
Big Ten Conference - East,37.0
Big 12 Conference,34.5
Southeastern Conference - East,33.6
Big Ten Conference - West,33.5
Independent,32.6
Atlantic Coast Conference - Coastal,32.2
American Athletic Conference - West,29.6
Pac-12 Conference - North,28.3
Mountain West Conference - Mountain,24.6
American Athletic Conference - East,19.1
Conference USA - East,18.4
Mid-American Conference - West,18.4
Mid-American Conference - East,15.6
Mountain West Conference - West,15.5
Sun Belt Conference,14.4
Conference USA - West,14.0
FCS,0.4
