Division,Score
Southeastern Conference - West,37.6
Big Ten Conference - East,32.9
Independent,32.4
Atlantic Coast Conference - Atlantic,31.9
Big 12 Conference,30.2
Pac-12 Conference - South,29.7
Pac-12 Conference - North,29.0
Big Ten Conference - West,28.6
Atlantic Coast Conference - Coastal,28.4
American Athletic Conference - West,28.3
Southeastern Conference - East,24.9
Mountain West Conference - Mountain,23.8
American Athletic Conference - East,22.0
Mid-American Conference - West,21.6
Mid-American Conference - East,14.6
Mountain West Conference - West,14.3
Conference USA - East,13.6
Sun Belt Conference,13.6
Conference USA - West,11.7
FCS,0.2
