Division,Score
Southeastern Conference - West,46.8
Atlantic Coast Conference - Atlantic,32.8
Southeastern Conference - East,32.6
Big Ten Conference - East,32.0
Pac-12 Conference - South,30.7
Atlantic Coast Conference - Coastal,30.1
Independent,29.5
Mountain West Conference - Mountain,28.6
Big 12 Conference,28.3
Big Ten Conference - West,25.8
Pac-12 Conference - North,24.1
Conference USA - East,23.5
American Athletic Conference - East,22.2
American Athletic Conference - West,22.0
Conference USA - West,20.9
Mountain West Conference - West,19.2
Mid-American Conference - West,16.5
Sun Belt Conference,13.6
Mid-American Conference - East,13.2
FCS,0.8
