Division,Score
Southeastern Conference - West,42.1
Independent,36.8
Big Ten Conference - East,36.1
Atlantic Coast Conference - Atlantic,35.4
Pac-12 Conference - South,33.6
American Athletic Conference - West,33.4
Big 12 Conference,33.1
Atlantic Coast Conference - Coastal,31.5
Pac-12 Conference - North,30.5
Big Ten Conference - West,30.2
Southeastern Conference - East,27.5
Mountain West Conference - Mountain,25.7
Mid-American Conference - West,23.5
American Athletic Conference - East,22.8
Mid-American Conference - East,15.6
Mountain West Conference - West,15.1
Sun Belt Conference,15.0
Conference USA - East,14.7
Conference USA - West,12.5
FCS,0.5
