Division,Score
Southeastern Conference - West,42.0
Atlantic Coast Conference - Atlantic,36.3
Pac-12 Conference - South,35.5
Big Ten Conference - East,34.8
Big 12 Conference,32.4
Big Ten Conference - West,31.2
Southeastern Conference - East,30.9
Atlantic Coast Conference - Coastal,29.9
American Athletic Conference - West,29.8
Independent,29.4
Pac-12 Conference - North,29.2
Mountain West Conference - Mountain,23.4
American Athletic Conference - East,19.4
Mid-American Conference - West,18.2
Conference USA - East,16.1
Mid-American Conference - East,14.8
Sun Belt Conference,13.2
Mountain West Conference - West,13.1
Conference USA - West,13.1
FCS,0.3
