Conference,Score
Big 12 Conference,36.4
Southeastern Conference,34.3
Big Ten Conference,34.1
Pacific-10 Conference,33.8
Big East Conference,33.1
Atlantic Coast Conference,32.2
Mountain West Conference,23.8
Independent,21.9
Mid-American Conference,18.9
Conference USA,18.8
Western Athletic Conference,14.5
Sun Belt Conference,9.2
FCS,1.8
