Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
southern-california,3,5,2,64.1,52.9,13.7
washington-state,19,13,-6,43.9,31.3,8.3
arizona-state,48,51,3,28.2,19.8,5.6
oregon-state,28,31,3,36.9,31.7,9.5
ucla,32,34,2,33.6,26.2,8.1
california,37,38,1,32.5,26.8,9.8
washington,52,48,-4,27.4,20.8,5.7
oregon,51,53,2,27.4,20.8,7.8
arizona,85,85,0,12.2,1.5,4.2
stanford,92,92,0,11.1,10.6,9.2
georgia,7,7,0,58.1,38.8,9.2
florida,36,33,-3,32.8,24.7,9.9
tennessee,34,32,-2,33.1,25.3,7.9
kentucky,50,52,2,27.8,18.5,8.0
south-carolina,70,69,-1,21.1,17.3,5.8
vanderbilt,96,96,0,9.3,6.1,6.4
alabama,8,8,0,53.7,45.0,12.3
auburn,18,21,3,44.5,37.8,9.9
arkansas,23,22,-1,41.5,36.9,13.4
louisiana-state,30,29,-1,36.4,30.9,9.9
mississippi,57,58,1,24.3,15.0,4.7
mississippi-state,89,88,-1,11.6,6.0,3.6
colorado,25,28,3,38.6,32.2,9.7
kansas-state,1,1,0,70.7,61.5,14.8
iowa-state,53,49,-4,27.3,23.6,9.2
nebraska,44,43,-1,31.2,31.4,11.7
missouri,58,57,-1,24.3,24.5,8.5
kansas,111,111,0,3.5,-16.8,4.2
oklahoma,5,6,1,59.8,45.9,12.0
texas,10,11,1,52.1,37.2,9.3
texas-tech,33,36,3,33.2,23.4,8.5
oklahoma-state,46,47,1,30.5,20.9,6.2
texas-am,55,55,0,25.7,20.4,7.0
baylor,106,106,0,6.1,-11.5,4.4
ohio-state,2,3,1,66.1,43.3,10.1
iowa,6,4,-2,58.3,45.3,10.9
michigan,13,15,2,46.1,34.3,8.2
penn-state,11,9,-2,48.7,44.4,14.0
purdue,39,46,7,32.3,30.1,8.1
illinois,68,67,-1,21.4,17.9,5.7
minnesota,45,45,0,30.9,21.6,6.8
wisconsin,35,35,0,32.9,28.3,6.8
michigan-state,80,80,0,13.2,4.2,6.9
indiana,101,101,0,7.3,-7.6,9.1
northwestern,103,103,0,6.9,-8.9,7.0
florida-state,22,16,-6,42.1,37.9,10.9
maryland,12,14,2,48.4,36.0,10.9
virginia,41,40,-1,31.7,20.8,6.7
north-carolina-state,14,19,5,46.0,32.8,7.7
clemson,59,59,0,24.1,14.5,6.1
georgia-tech,49,44,-5,28.0,21.9,7.5
wake-forest,43,42,-1,31.3,28.1,9.3
north-carolina,99,98,-1,8.9,-2.6,7.2
duke,94,94,0,10.1,9.3,10.7
miami-fl,4,2,-2,61.1,43.2,11.2
west-virginia,17,17,0,44.8,38.3,11.8
pittsburgh,24,24,0,39.0,29.4,10.3
virginia-tech,16,18,2,45.3,37.0,11.5
boston-college,26,27,1,38.1,27.9,6.7
syracuse,73,73,0,16.4,12.6,5.5
temple,74,74,0,16.1,12.0,5.8
rutgers,112,112,0,2.7,-16.5,10.1
south-florida,20,20,0,43.2,28.0,8.3
notre-dame,15,12,-3,45.4,33.3,9.7
connecticut,62,62,0,22.8,14.5,10.9
utah-state,102,102,0,7.2,-12.9,4.7
troy,75,75,0,16.1,12.0,5.4
navy,97,97,0,9.0,5.0,5.4
colorado-state,31,25,-6,35.7,22.6,7.6
new-mexico,67,66,-1,21.6,12.2,4.1
air-force,29,26,-3,36.7,31.3,10.5
san-diego-state,95,95,0,9.8,-3.2,4.4
utah,69,68,-1,21.2,14.5,10.3
nevada-las-vegas,72,72,0,17.7,9.4,3.5
brigham-young,82,82,0,12.9,-1.4,9.5
wyoming,107,107,0,5.7,-8.4,5.8
texas-christian,21,23,2,42.9,26.2,10.2
cincinnati,56,56,0,24.5,18.1,8.7
louisville,60,60,0,23.5,13.3,7.8
southern-mississippi,65,64,-1,21.9,10.4,5.4
tulane,71,71,0,19.6,2.3,5.8
alabama-birmingham,88,89,1,11.6,-4.5,6.2
east-carolina,86,87,1,11.9,0.6,4.9
houston,77,77,0,15.2,3.8,5.6
memphis,100,100,0,8.8,-2.9,4.5
army,117,117,0,0.9,-26.3,8.8
marshall,40,39,-1,32.1,11.0,4.2
central-florida,61,61,0,23.1,10.1,3.7
miami-oh,54,54,0,25.9,15.1,5.8
ohio,79,79,0,13.6,5.2,9.0
akron,87,86,-1,11.7,0.1,6.2
kent-state,104,104,0,6.7,-9.6,8.8
buffalo,114,114,0,1.5,-23.2,5.4
northern-illinois,42,41,-1,31.3,19.2,9.0
toledo,38,37,-1,32.5,22.2,5.5
bowling-green-state,27,30,3,36.9,22.8,9.1
ball-state,76,76,0,15.5,0.1,4.9
western-michigan,84,83,-1,12.5,2.3,3.8
central-michigan,91,91,0,11.2,-1.2,3.6
eastern-michigan,118,118,0,0.0,-31.0,7.9
boise-state,9,10,1,52.8,33.1,11.5
hawaii,63,63,0,22.6,2.9,2.9
fresno-state,64,70,6,22.4,5.7,6.8
san-jose-state,93,93,0,11.0,-7.7,2.6
nevada,83,84,1,12.7,-1.8,3.5
rice,78,78,0,14.0,3.9,4.5
louisiana-tech,98,99,1,8.9,-7.2,4.6
southern-methodist,105,105,0,6.4,-10.5,4.4
texas-el-paso,113,113,0,1.8,-23.8,7.1
tulsa,116,116,0,1.0,-25.8,7.5
north-texas,47,50,3,28.7,17.8,6.6
new-mexico-state,66,65,-1,21.8,7.7,4.6
arkansas-state,90,90,0,11.5,-6.5,9.3
middle-tennessee-state,81,81,0,13.1,4.0,6.3
louisiana-lafayette,108,108,0,5.5,-13.3,5.4
louisiana-monroe,110,110,0,4.2,-17.4,9.4
idaho,109,109,0,4.9,-11.4,5.3
fcs,115,115,0,1.4,-21.5,4.9
