Conference,Score
Southeastern Conference,33.8
Big East Conference,33.6
Big 12 Conference,33.5
Pacific-10 Conference,33.3
Big Ten Conference,33.0
Atlantic Coast Conference,30.0
Independent,24.7
Mountain West Conference,21.3
Conference USA,18.5
Mid-American Conference,18.2
Western Athletic Conference,15.4
Sun Belt Conference,12.7
FCS,1.4
