Conference,Score
Big 12 Conference,39.1
Pacific-10 Conference,38.8
Southeastern Conference,36.8
Big East Conference,36.7
Big Ten Conference,36.6
Atlantic Coast Conference,33.5
Mountain West Conference,24.8
Independent,21.5
Conference USA,20.5
Mid-American Conference,19.0
Western Athletic Conference,15.9
Sun Belt Conference,10.1
FCS,2.5
