Conference,Score
Big 12 Conference,35.3
Southeastern Conference,33.8
Big East Conference,33.8
Big Ten Conference,33.4
Pacific-10 Conference,33.2
Atlantic Coast Conference,31.0
Independent,25.6
Mountain West Conference,21.9
Conference USA,19.2
Mid-American Conference,18.5
Western Athletic Conference,15.8
Sun Belt Conference,12.3
FCS,1.4
