Conference,Score
Big 12 Conference,33.6
Big Ten Conference,33.1
Big East Conference,32.9
Southeastern Conference,32.8
Pacific-10 Conference,31.7
Atlantic Coast Conference,30.1
Independent,24.0
Mountain West Conference,20.2
Mid-American Conference,18.2
Conference USA,18.1
Western Athletic Conference,15.3
Sun Belt Conference,12.8
FCS,1.4
