Division,Score
Southeastern Conference - West,43.1
Big Ten Conference - East,41.0
Southeastern Conference - East,39.1
Atlantic Coast Conference - Coastal,38.7
Big 12 Conference,38.1
Atlantic Coast Conference - Atlantic,37.9
Big Ten Conference - West,37.8
American Athletic Conference,37.4
Pac-12 Conference - North,34.7
Independent,34.3
Sun Belt Conference - East,34.0
Pac-12 Conference - South,33.6
Mountain West Conference - Mountain,32.1
Sun Belt Conference - West,28.5
Mid-American Conference - West,26.5
Conference USA - East,26.2
Conference USA - West,26.0
Mountain West Conference - West,24.7
Mid-American Conference - East,22.5
Independent - East,16.3
FCS,3.1
